State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Price_Range,Average_Price,Price_Volatility_Percent,Month,Season,VPVI,Volatility_Category
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-12,9000,9000,9000,0,9000.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-07,7400,7400,7400,0,7400.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-13,8400,8400,8400,0,8400.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-19,5800,5800,5800,0,5800.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-03,9600,9600,9600,0,9600.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-23,3600,4800,4800,1200,4400.0,27.27272727272727,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-25,3600,5000,5000,1400,4533.333333333333,30.88235294117647,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-26,5400,5400,5400,0,5400.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-05,8000,9600,9600,1600,9066.666666666666,17.647058823529413,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-14,6600,7600,7600,1000,7266.666666666667,13.761467889908255,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-17,9000,9000,9000,0,9000.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-21,3600,4800,4800,1200,4400.0,27.27272727272727,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-16,6800,6800,6800,0,6800.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-21,5400,5400,5400,0,5400.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-24,4400,4400,4400,0,4400.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-15,6600,7600,7600,1000,7266.666666666667,13.761467889908255,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-31,6000,6000,6000,0,6000.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-29,5800,5800,5800,0,5800.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-06,7400,7400,7400,0,7400.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-13,8000,8000,8000,0,8000.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-01-30,5600,5600,5600,0,5600.0,0.0,January,Winter,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-03-09,4000,5000,5000,1000,4666.666666666667,21.428571428571427,March,Summer,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-03-29,6000,8000,8000,2000,7333.333333333333,27.27272727272728,March,Summer,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-03-31,9000,9000,9000,0,9000.0,0.0,March,Summer,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-03-12,8000,8000,8000,0,8000.0,0.0,March,Summer,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-03-15,5000,5000,5000,0,5000.0,0.0,March,Summer,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-03-10,8400,8400,8400,0,8400.0,0.0,March,Summer,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-03-15,5400,5400,5400,0,5400.0,0.0,March,Summer,26.85,Highly Volatile
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2025-03-24,5400,5400,5400,0,5400.0,0.0,March,Summer,26.85,Highly Volatile
