Commodity,Mean_Average_Price,Std_Dev_Price,Observation_Count,VPVI,Volatility_Category
Tomato,2986.6997401370186,1262.0376592157984,1411,42.26,Highly Volatile
Cauliflower,5296.061197916667,1765.5559140446242,1024,33.34,Highly Volatile
Brinjal,4678.645833333333,1435.2587730431776,1408,30.68,Highly Volatile
Green Chilli,4912.997159090909,1357.249652174872,1408,27.63,Highly Volatile
Beans,7102.528901734104,1906.8468586973456,1384,26.85,Highly Volatile
Cabbage,2685.283950617284,694.5022062022302,1350,25.86,Highly Volatile
Beetroot,4065.051903114186,983.7717794746146,1156,24.2,Highly Volatile
Carrot,6337.520878072059,1207.751383946952,1397,19.06,Moderately Volatile
Onion,3520.152272186533,569.4740895786052,1401,16.18,Moderately Volatile
Potato,3716.6264414052025,439.0868183196396,1243,11.81,Moderately Volatile
